Speed_mph,Cumulative_s,Time_seconds,Distance_miles,Sector
66,15.6,0.0670000000000002,0.00122833333333334,Three
64,15.667,0.0660000000000007,0.00117333333333335,Three
63,15.733,0.0670000000000002,0.0011725,Three
62,15.8,0.0670000000000002,0.00115388888888889,Three
61,15.867,0.132999999999999,0.0022536111111111,Three
59,16,0.132999999999999,0.00217972222222221,Three
58,16.133,0.0670000000000002,0.00107944444444445,Three
59,16.2,0.0670000000000002,0.00109805555555556,Three
60,16.267,0.065999999999999,0.00109999999999998,Three
62,16.333,0.0670000000000002,0.00115388888888889,Three
63,16.4,0.0670000000000002,0.0011725,Three
65,16.467,0.065999999999999,0.00119166666666665,Three
66,16.533,0.0670000000000002,0.00122833333333334,Three
67,16.6,0.0670000000000002,0.00124694444444445,Three
69,16.667,0.065999999999999,0.00126499999999998,Three
70,16.733,0.0670000000000037,0.00130277777777785,Three
71,16.8,0.132999999999999,0.00262305555555554,Three
73,16.933,0.0670000000000002,0.00135861111111111,Three
74,17,0.065999999999999,0.00135666666666665,Three
76,17.066,0.0670000000000002,0.00141444444444445,Three
78,17.133,0.0670000000000002,0.00145166666666667,Three
79,17.2,0.065999999999999,0.00144833333333331,Three
80,17.266,0.0670000000000002,0.00148888888888889,Three
83,17.333,0.0670000000000002,0.00154472222222223,Three
87,17.4,0.065999999999999,0.00159499999999997,Three
90,17.466,0.0670000000000002,0.001675,Three
91,17.533,0.400000000000002,0.0101111111111112,Three
92,17.933,0.0670000000000002,0.00171222222222223,Three
93,18,0.0670000000000002,0.00173083333333334,Three
94,18.067,0.065999999999999,0.00172333333333331,Three
95,18.133,0.0670000000000002,0.00176805555555556,Three
96,18.2,0.117000000000001,0.00312000000000002,Three
97,18.317,0.00999999999999801,0.000269444444444391,Three
