Speed_mph,Time_seconds,Cumulative_Time,Distance_miles,Sector
94,0.0670000000000002,0.0670000000000002,0.00174944444444445,
95,0.299999999999999,0.366999999999999,0.00791666666666664,
96,0.300000000000001,0.667,0.00800000000000002,
97,0.132999999999999,0.799999999999999,0.00358361111111109,
96,0.267000000000001,1.067,0.00712000000000003,
97,0.333,1.4,0.00897250000000001,
98,0.266999999999999,1.667,0.00726833333333332,
99,0.167,1.834,0.0045925,
100,0.166,2,0.00461111111111112,
101,0.0999999999999997,2.1,0.00280555555555555,
97,0.0329999999999995,2.133,0.000889166666666653,
96,0.0340000000000007,2.167,0.000906666666666685,
95,0.0329999999999995,2.2,0.00087083333333332,
94,0.0329999999999995,2.233,0.000861666666666653,
93,0.0670000000000002,2.3,0.00173083333333334,
91,0.0329999999999995,2.333,0.000834166666666653,
90,0.0329999999999995,2.366,0.000824999999999987,
89,0.0340000000000007,2.4,0.000840555555555573,
88,0.0329999999999995,2.433,0.000806666666666654,
87,0.0329999999999995,2.466,0.000797499999999987,
86,0.0340000000000007,2.5,0.000812222222222239,
85,0.0329999999999995,2.533,0.000779166666666654,
84,0.0340000000000007,2.567,0.00079333333333335,
83,0.0660000000000007,2.633,0.00152166666666668,
82,0.0340000000000007,2.667,0.00077444444444446,
81,0.0329999999999995,2.7,0.000742499999999988,
80,0.0670000000000002,2.767,0.00148888888888889,
78,0.0329999999999995,2.8,0.000714999999999989,
77,0.0329999999999995,2.833,0.000705833333333322,
75,0.0340000000000007,2.867,0.000708333333333348,
74,0.0329999999999995,2.9,0.000678333333333323,
73,0.0329999999999995,2.933,0.000669166666666656,
72,0.134000000000002,3.067,0.00268000000000004,
69,0.0329999999999995,3.1,0.00063249999999999,
68,0.0340000000000007,3.134,0.000642222222222235,
67,0.065999999999999,3.2,0.00122833333333331,
66,0.0340000000000007,3.234,0.000623333333333346,
65,0.0329999999999995,3.267,0.000595833333333324,
64,0.0329999999999995,3.3,0.000586666666666657,
63,0.0670000000000002,3.367,0.0011725,
62,0.0330000000000013,3.4,0.000568333333333355,
61,0.0670000000000002,3.467,0.00113527777777778,
60,0.132999999999999,3.6,0.00221666666666665,
61,0.234,3.834,0.003965,
62,0.0329999999999995,3.867,0.000568333333333324,
63,0.0330000000000013,3.9,0.000577500000000022,
64,0.0670000000000002,3.967,0.00119111111111111,
65,0.0329999999999995,4,0.000595833333333324,
66,0.0340000000000007,4.034,0.000623333333333346,
67,0.0329999999999995,4.067,0.000614166666666657,
68,0.0329999999999995,4.1,0.000623333333333323,
69,0.0340000000000007,4.134,0.00065166666666668,
70,0.0329999999999995,4.167,0.000641666666666657,
71,0.0329999999999995,4.2,0.000650833333333323,
73,0.0340000000000007,4.234,0.000689444444444459,
74,0.0329999999999995,4.267,0.000678333333333323,
75,0.0329999999999995,4.3,0.000687499999999989,
76,0.0340000000000007,4.334,0.000717777777777792,
77,0.0329999999999995,4.367,0.000705833333333322,
78,0.0670000000000002,4.434,0.00145166666666667,
79,0.100000000000001,4.534,0.00219444444444448,
82,0.0329999999999995,4.567,0.000751666666666655,
86,0.0670000000000002,4.634,0.00160055555555556,
87,0.0329999999999995,4.667,0.000797499999999987,
88,0.0329999999999995,4.7,0.000806666666666654,
89,0.0340000000000007,4.734,0.000840555555555573,
90,0.065999999999999,4.8,0.00164999999999997,
91,0.100000000000001,4.9,0.00252777777777781,
92,0.0999999999999997,5,0.00255555555555555,
93,0.0999999999999997,5.1,0.00258333333333332,
94,0.300000000000001,5.4,0.00783333333333335,
93,1,6.4,0.0258333333333333,
94,0.367000000000001,6.767,0.0095827777777778,
95,0.0999999999999979,6.867,0.00263888888888883,
93,0.0330000000000013,6.9,0.000852500000000032,
92,0.0339999999999989,6.934,0.000868888888888861,
91,0.0330000000000013,6.967,0.000834166666666698,
90,0.0670000000000002,7.034,0.001675,
89,0.065999999999999,7.1,0.00163166666666664,
88,0.0670000000000002,7.167,0.00163777777777778,
87,0.0330000000000013,7.2,0.00079750000000003,
86,0.0670000000000002,7.267,0.00160055555555556,
85,0.0329999999999977,7.3,0.000779166666666612,
84,0.0340000000000025,7.334,0.000793333333333391,
83,0.065999999999999,7.4,0.00152166666666664,
82,0.0670000000000002,7.467,0.00152611111111112,
85,0.0329999999999977,7.5,0.000779166666666612,
86,0.0670000000000002,7.567,0.00160055555555556,
87,0.0670000000000002,7.634,0.00161916666666667,
86,0.0660000000000025,7.7,0.00157666666666673,
85,0.0999999999999979,7.8,0.00236111111111106,
84,0.300000000000001,8.1,0.00700000000000002,
85,0.100000000000001,8.2,0.00236111111111114,
86,0.0670000000000002,8.267,0.00160055555555556,
87,0.0670000000000002,8.334,0.00161916666666667,
88,0.065999999999999,8.4,0.00161333333333331,
89,0.0999999999999979,8.5,0.00247222222222217,
90,0.0670000000000002,8.567,0.001675,
91,0.800000000000001,9.367,0.0202222222222222,
92,0.367000000000001,9.734,0.00937888888888891,
90,0.0330000000000013,9.767,0.000825000000000031,
89,0.0670000000000002,9.834,0.00165638888888889,
88,0.0329999999999977,9.867,0.00080666666666661,
87,0.0670000000000002,9.934,0.00161916666666667,
85,0.065999999999999,10.,0.00155833333333331,
83,0.0340000000000025,10.034,0.000783888888888946,
82,0.065999999999999,10.1,0.00150333333333331,
78,0.134,10.234,0.00290333333333334,
