Time Trial,Rocky Road Speedway,1,ComicChimera488,0:13.961
Time Trial,Rocky Road Speedway,2,Krrly6000,0:14.069
Time Trial,Rocky Road Speedway,3,OJ GOES HARD,0:14.250
